,Reference,Final_Alginate_Conc_(%w/v),Final_Gelatin_Conc_(%w/v),Final_GelMA_Conc_(%w/v),Final_Hyaluronic_Acid_Conc_(%w/v),Final_MeHA_Conc_(%w/v),Final_NorHA_Conc_(%w/v),Final_Fibronin/Fibrinogen_Conc_(%w/v),Final_P127_Conc_(%w/v),Final_Collagen_Conc_(%w/v),Final_TCP_Conc_(%w/v)_(%w/v),Final_Gellan_Conc_(%w/v),Final_Nano/Methycellulose_Conc_(%w/v),PEGDA_Conc_(%w/v),Agarose_Conc_(%w/v),CaCl2_Conc_(mM),NaCl2_Conc_(mM),BaCl2_Conc_(mM),SrCl2_Conc_(mM),Physical_Crosslinking_Durantion_(s),Photocrosslinking_Duration_(s),Extrusion_Pressure (kPa),Extrusion_Rate_Lengthwise_(mm/s),Extrusion_Rate_Volume-wise_(mL/s),Nozzle_Movement_Speed_(mm/s),Inner_Nozzle_Outer_Diameter_(µm),Outer_Nozzle_Inner_Diameter_(µm),Filament_Diameter_(µm),Cell_Density_(cells/mL),Syringe_Temperature_(°C),Substrate_Temperature_(°C),Days_Observed,Construct_Base_Area_(mm^2),Construct_Total_Thickness_(mm),Cell_Culture_Medium_Used?,DI_Water_Used?,Precrosslinking_Solution_Used?,Saline_Solution_Used?,EtOH_Solution_Used?,Photoinitiator_Used?,Enzymatic_Crosslinker_Used?,Conical_or_Straight_Nozzle,Acceptable_Filament_Diameter_(Yes/No),DOI,Final_Fibroin/Fibrinogen_Conc_(%w/v),Final_Chitosan_Conc_(%w/v),Final_CS-AEMA_Conc_(%w/v),Final_TCP_Conc_(%w/v),Final_PEGTA_Conc_(%w/v),Final_PEGMA_Conc_(%w/v),Final_PEGDA_Conc_(%w/v),Final_Agarose_Conc_(%w/v),Fiber_Diameter_(µm),Fiber_Spacing_(µm),Matrigel_Used?,Primary/Not_Primary,Viability_at_time_of_observation_(%),Acceptable_Viability_(Yes/No),Acceptable_Pressure_(Yes/No)
67,Müller et al .2017,1.0,0.0,0.0,0.0,0,0,,0,0.0,,0,1.36,,,100.0,0.0,0,0,720.0,0,21.0,,,,0,337.0,,6000000.0,,,14.0,,,Y,Y,N,N,N,N,N,S,,10.1007/s10439-016-1704-5,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,68.0,N,N
68,Müller et al .2017,1.0,0.0,0.0,0.0,0,0,,0,0.0,,0,1.36,,,100.0,0.0,0,0,720.0,0,21.0,,,,0,337.0,,6000000.0,,,28.0,,,Y,Y,N,N,N,N,N,S,,10.1007/s10439-016-1704-5,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,85.0,Y,Y
69,Müller et al .2017,1.0,0.0,0.0,0.0,0,0,,0,0.0,,0,1.36,,,100.0,0.0,0,0,720.0,0,28.0,,,,0,260.0,,6000000.0,,,1.0,,,Y,Y,N,N,N,N,N,C,,10.1007/s10439-016-1704-5,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,62.0,N,N
70,Müller et al .2017,1.0,0.0,0.0,0.0,0,0,,0,0.0,,0,1.36,,,100.0,0.0,0,0,720.0,0,28.0,,,,0,260.0,,6000000.0,,,14.0,,,Y,Y,N,N,N,N,N,C,,10.1007/s10439-016-1704-5,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,73.0,N,N
71,Müller et al .2017,1.0,0.0,0.0,0.0,0,0,,0,0.0,,0,1.36,,,100.0,0.0,0,0,720.0,0,28.0,,,,0,260.0,,6000000.0,,,28.0,,,Y,Y,N,N,N,N,N,C,,10.1007/s10439-016-1704-5,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,94.0,Y,Y
72,Müller et al .2017,1.0,0.0,0.0,0.0,0,0,,0,0.0,,0,1.36,,,100.0,0.0,0,0,720.0,0,6.0,,,,0,260.0,,6000000.0,,,1.0,,,Y,Y,N,N,N,N,N,S,,10.1007/s10439-016-1704-5,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,54.5,N,N
73,Müller et al .2017,1.0,0.0,0.0,0.0,0,0,,0,0.0,,0,1.36,,,100.0,0.0,0,0,720.0,0,6.0,,,,0,260.0,,6000000.0,,,14.0,,,Y,Y,N,N,N,N,N,S,,10.1007/s10439-016-1704-5,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,85.0,Y,Y
74,Müller et al .2017,1.0,0.0,0.0,0.0,0,0,,0,0.0,,0,1.36,,,100.0,0.0,0,0,720.0,0,6.0,,,,0,260.0,,6000000.0,,,28.0,,,Y,Y,N,N,N,N,N,S,,10.1007/s10439-016-1704-5,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,90.0,Y,Y
75,Müller et al .2017,1.0,0.0,0.0,0.0,0,0,,0,0.0,,0,1.36,,,100.0,0.0,0,0,720.0,0,38.0,,,,0,210.0,,6000000.0,,,1.0,,,Y,Y,N,N,N,N,N,C,,10.1007/s10439-016-1704-5,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,49.0,N,N
76,Müller et al .2017,1.0,0.0,0.0,0.0,0,0,,0,0.0,,0,1.36,,,100.0,0.0,0,0,720.0,0,38.0,,,,0,210.0,,6000000.0,,,14.0,,,Y,Y,N,N,N,N,N,C,,10.1007/s10439-016-1704-5,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,74.0,N,N
77,Müller et al .2017,1.0,0.0,0.0,0.0,0,0,,0,0.0,,0,1.36,,,100.0,0.0,0,0,720.0,0,38.0,,,,0,210.0,,6000000.0,,,28.0,,,Y,Y,N,N,N,N,N,C,,10.1007/s10439-016-1704-5,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,80.0,Y,Y
78,Müller et al .2017,1.0,0.0,0.0,0.0,0,0,,0,0.0,,0,1.36,,,100.0,0.0,0,0,720.0,0,10.0,,,,0,210.0,,6000000.0,,,1.0,,,Y,Y,N,N,N,N,N,S,,10.1007/s10439-016-1704-5,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,65.5,N,N
79,Müller et al .2017,1.0,0.0,0.0,0.0,0,0,,0,0.0,,0,1.36,,,100.0,0.0,0,0,720.0,0,10.0,,,,0,210.0,,6000000.0,,,14.0,,,Y,Y,N,N,N,N,N,S,,10.1007/s10439-016-1704-5,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,65.0,N,N
80,Müller et al .2017,1.0,0.0,0.0,0.0,0,0,,0,0.0,,0,1.36,,,100.0,0.0,0,0,720.0,0,10.0,,,,0,210.0,,6000000.0,,,28.0,,,Y,Y,N,N,N,N,N,S,,10.1007/s10439-016-1704-5,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,72.0,N,N
81,Müller et al .2017,1.0,0.0,0.0,0.0,0,0,,0,0.0,,0,1.36,,,100.0,0.0,0,0,720.0,0,74.0,,,,0,159.0,,6000000.0,,,1.0,,,Y,Y,N,N,N,N,N,S,,10.1007/s10439-016-1704-5,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,60.0,N,N
82,Müller et al .2017,1.0,0.0,0.0,0.0,0,0,,0,0.0,,0,1.36,,,100.0,0.0,0,0,720.0,0,74.0,,,,0,159.0,,6000000.0,,,14.0,,,Y,Y,N,N,N,N,N,S,,10.1007/s10439-016-1704-5,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,54.0,N,N
83,Müller et al .2017,1.0,0.0,0.0,0.0,0,0,,0,0.0,,0,1.36,,,100.0,0.0,0,0,720.0,0,74.0,,,,0,159.0,,6000000.0,,,28.0,,,Y,Y,N,N,N,N,N,S,,10.1007/s10439-016-1704-5,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,80.0,Y,Y
84,Müller et al .2017,1.0,0.0,0.0,0.0,0,0,,0,0.0,,0,1.36,,,100.0,0.0,0,0,720.0,0,45.0,,,,0,150.0,,6000000.0,,,1.0,,,Y,Y,N,N,N,N,N,S,,10.1007/s10439-016-1704-5,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,55.0,N,N
85,Müller et al .2017,1.0,0.0,0.0,0.0,0,0,,0,0.0,,0,1.36,,,100.0,0.0,0,0,720.0,0,45.0,,,,0,150.0,,6000000.0,,,14.0,,,Y,Y,N,N,N,N,N,S,,10.1007/s10439-016-1704-5,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,59.0,N,N
86,Müller et al .2017,1.0,0.0,0.0,0.0,0,0,,0,0.0,,0,1.36,,,100.0,0.0,0,0,720.0,0,45.0,,,,0,150.0,,6000000.0,,,28.0,,,Y,Y,N,N,N,N,N,S,,10.1007/s10439-016-1704-5,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,68.0,N,N
87,Müller et al .2017,1.0,0.0,0.0,0.0,0,0,,0,0.0,,0,1.36,,,100.0,0.0,0,0,720.0,0,45.0,,,,0,300.0,,6000000.0,,,1.0,,,Y,Y,N,N,N,N,N,S,,10.1007/s10439-016-1704-5,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,58.0,N,N
88,Müller et al .2017,1.0,0.0,0.0,0.0,0,0,,0,0.0,,0,1.36,,,100.0,0.0,0,0,720.0,0,45.0,,,,0,300.0,,6000000.0,,,14.0,,,Y,Y,N,N,N,N,N,S,,10.1007/s10439-016-1704-5,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,59.5,N,N
89,Müller et al .2017,1.0,0.0,0.0,0.0,0,0,,0,0.0,,0,1.36,,,100.0,0.0,0,0,720.0,0,45.0,,,,0,300.0,,6000000.0,,,28.0,,,Y,Y,N,N,N,N,N,S,,10.1007/s10439-016-1704-5,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,65.0,N,N
90,Ning et al. 2018,2.0,0.0,0.0,1.0,0,0,,0,0.0,,0,0.0,,,20.0,0.0,0,0,1080.0,0,30.0,9.0,,,0,200.0,,1000000.0,,22.0,1.0,,,Y,N,N,Y,N,N,Y,S,,10.1088/1758-5090/aacd30,4.0,0,0,0.0,0,0.0,0,0.0,287.01,,N,Not_Primary,89.1,Y,Y
91,Ning et al. 2018,2.0,0.0,0.0,1.0,0,0,,0,0.0,,0,0.0,,,20.0,0.0,0,0,1080.0,0,30.0,9.0,,,0,200.0,,1000000.0,,22.0,4.0,,,Y,N,N,Y,N,N,Y,S,,10.1088/1758-5090/aacd30,4.0,0,0,0.0,0,0.0,0,0.0,308.09,,N,Not_Primary,97.8,Y,Y
92,Ning et al. 2018,2.0,0.0,0.0,1.0,0,0,,0,0.0,,0,0.0,,,20.0,0.0,0,0,1080.0,0,30.0,9.0,,,0,200.0,,1000000.0,,22.0,10.0,,,Y,N,N,Y,N,N,Y,S,,10.1088/1758-5090/aacd30,4.0,0,0,0.0,0,0.0,0,0.0,328.74,,N,Not_Primary,98.0,Y,Y
93,Ning et al. 2018,2.0,0.0,0.0,1.0,0,0,,0,0.0,,0,0.0,,,20.0,0.0,0,0,1080.0,0,30.0,9.0,,,0,200.0,,1000000.0,,22.0,1.0,,,Y,N,N,Y,N,N,Y,S,,10.1088/1758-5090/aacd30,4.0,0,0,0.0,0,0.0,0,0.0,286.84,,N,Not_Primary,90.4,Y,Y
94,Ning et al. 2018,2.0,0.0,0.0,1.0,0,0,,0,0.0,,0,0.0,,,20.0,0.0,0,0,1080.0,0,30.0,9.0,,,0,200.0,,1000000.0,,22.0,4.0,,,Y,N,N,Y,N,N,Y,S,,10.1088/1758-5090/aacd30,4.0,0,0,0.0,0,0.0,0,0.0,298.04,,N,Not_Primary,95.5,Y,Y
95,Ning et al. 2018,2.0,0.0,0.0,1.0,0,0,,0,0.0,,0,0.0,,,20.0,0.0,0,0,1080.0,0,30.0,9.0,,,0,200.0,,1000000.0,,22.0,10.0,,,Y,N,N,Y,N,N,N,S,,10.1088/1758-5090/aacd30,4.0,0,0,0.0,0,0.0,0,0.0,296.7,,N,Not_Primary,97.8,Y,Y
96,Kesti et al. 2015,2.0,0.0,0.0,0.0,0,0,,0,0.0,,3,0.0,,,0.0,,0,20,22.5,0,20.0,13.33333333,,,0,410.0,,6000000.0,22.0,4.0,0.0,,,Y,Y,N,N,N,N,N,S,,10.1016/j.actbio.2014.09.033,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,98.0,Y,Y
97,Kesti et al. 2015,2.0,0.0,0.0,0.0,0,0,,0,0.0,,3,0.0,,,0.0,,0,20,22.5,0,20.0,13.33333333,,,0,410.0,,6000000.0,22.0,4.0,0.125,,,Y,Y,N,N,N,N,N,S,,10.1016/j.actbio.2014.09.033,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,80.0,Y,Y
98,Kesti et al. 2015,2.0,0.0,0.0,0.0,0,0,,0,0.0,,3,0.0,,,0.0,,0,20,22.5,0,20.0,13.33333333,,,0,410.0,,6000000.0,22.0,4.0,4.0,,,Y,Y,N,N,N,N,N,S,,10.1016/j.actbio.2014.09.033,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,97.0,Y,Y
99,Kesti et al. 2015,2.0,0.0,0.0,0.0,0,0,,0,0.0,,3,0.0,,,0.0,,0,20,22.5,0,20.0,13.33333333,,,0,410.0,,6000000.0,22.0,4.0,7.0,,,Y,Y,N,N,N,N,N,S,,10.1016/j.actbio.2014.09.033,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,97.0,Y,Y
100,Markstedt et al. 2015,0.5,0.0,0.0,0.0,0,0,,0,0.0,,0,2.0,,,90.0,0.0,0,0,600.0,0,40.0,,,5.0,0,300.0,,15000000.0,,22.0,1.0,,,N,Y,N,N,N,N,N,S,,10.1021/acs.biomac.5b00188,0.0,0,0,0.0,0,0.0,0,0.0,,1200.0,N,Primary,72.7,N,N
101,Markstedt et al. 2015,0.5,0.0,0.0,0.0,0,0,,0,0.0,,0,2.0,,,90.0,0.0,0,0,600.0,0,40.0,,,5.0,0,300.0,,15000000.0,,22.0,7.0,,,N,Y,N,N,N,N,N,S,,10.1021/acs.biomac.5b00188,0.0,0,0,0.0,0,0.0,0,0.0,443.96,1200.0,N,Primary,84.6,Y,Y
102,Shim et al. 2012,4.0,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,100.0,145.0,0,0,600.0,0,,0.01,,,0,250.0,,1000000.0,,22.0,1.0,,,Y,N,N,N,N,N,N,S,,10.1088/0960-1317/22/8/085014,0.0,0,0,0.0,0,0.0,0,0.0,624.48,750.0,N,Not_Primary,93.9,Y,Y
103,Shim et al. 2012,4.0,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,100.0,145.0,0,0,600.0,0,,0.01,,,0,250.0,,1000000.0,,22.0,7.0,,,Y,N,N,N,N,N,N,S,,10.1088/0960-1317/22/8/085014,0.0,0,0,0.0,0,0.0,0,0.0,68.27,750.0,N,Not_Primary,95.2,Y,Y
104,Shim et al. 2012,4.0,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,100.0,145.0,0,0,600.0,0,,0.01,,,0,250.0,,1000000.0,,22.0,1.0,,,Y,N,N,N,N,N,N,S,,10.1088/0960-1317/22/8/085014,0.0,0,0,0.0,0,0.0,0,0.0,611.93,750.0,N,Primary,89.5,Y,Y
105,Shim et al. 2012,4.0,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,100.0,145.0,0,0,600.0,0,,0.01,,,0,250.0,,1000000.0,,22.0,7.0,,,Y,N,N,N,N,N,N,S,,10.1088/0960-1317/22/8/085014,0.0,0,0,0.0,0,0.0,0,0.0,595.83,750.0,N,Primary,93.6,Y,Y
106,He et al. 2016,2.5,8.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,,0.0,0,0,300.0,0,,,,,0,400.0,,100000.0,37.0,5.0,1.0,,,Y,Y,N,N,N,N,N,C,,10.1038/srep29977,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,92.0,Y,Y
107,He et al. 2016,2.5,8.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,,0.0,0,0,300.0,0,,,,,0,400.0,,100000.0,37.0,5.0,4.0,,,Y,Y,N,N,N,N,N,C,,10.1038/srep29977,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,81.0,Y,Y
108,He et al. 2016,2.5,8.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,,0.0,0,0,300.0,0,,,,,0,400.0,,100000.0,37.0,5.0,7.0,,,Y,Y,N,N,N,N,N,C,,10.1038/srep29977,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,60.3,N,N
109,Daly et al. 2016,3.5,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,50.0,0.0,0,0,900.0,0,200.0,,,,0,260.0,,20000000.0,21.0,,28.0,,,N,Y,N,Y,N,N,N,S,,10.1088/1758-5090/8/4/045002,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,74.0,N,N
110,Daly et al. 2016,0.0,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,0.0,0.0,0,0,900.0,0,200.0,,,,0,260.0,,20000000.0,37.0,,28.0,,,N,Y,N,N,N,N,N,S,,10.1088/1758-5090/8/4/045002,0.0,0,0,0.0,0,0.0,0,2.0,,,N,Primary,77.1,N,N
111,Daly et al. 2016,0.0,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,0.0,0.0,0,0,1800.0,900,140.0,,,,0,260.0,,20000000.0,21.0,,28.0,,,N,N,N,N,N,Y,N,S,,10.1088/1758-5090/8/4/045002,0.0,0,0,0.0,0,,0,0.0,,,N,Primary,72.4,N,N
112,Daly et al. 2016,0.0,0.0,10.0,0.0,0,0,,0,0.0,,0,0.0,,,0.0,0.0,0,0,1800.0,900,60.0,,,,0,260.0,,20000000.0,28.0,,28.0,,,N,Y,N,Y,N,Y,N,S,,10.1088/1758-5090/8/4/045002,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,78.0,N,N
113,Kirillova et al. 2017,3.0,0.0,0.0,2.0,0,0,,0,0.0,,0,0.0,,,0.0,0.0,0,0,0.0,120,,,,1.333,0,250.0,,500000.0,,22.0,1.0,,,N,Y,N,N,N,Y,N,S,,10.1002/adma.201703443,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,97.3,Y,Y
114,Kirillova et al. 2017,3.0,0.0,0.0,2.0,0,0,,0,0.0,,0,0.0,,,0.0,0.0,0,0,0.0,120,,,,1.333,0,250.0,,500000.0,,22.0,2.0,,,N,Y,N,N,N,Y,N,S,,10.1002/adma.201703443,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,98.0,Y,Y
115,Kirillova et al. 2017,3.0,0.0,0.0,2.0,0,0,,0,0.0,,0,0.0,,,0.0,0.0,0,0,0.0,120,,,,1.333,0,250.0,,500000.0,,22.0,7.0,,,N,Y,N,N,N,Y,N,S,,10.1002/adma.201703443,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,98.0,Y,Y
116,Kirillova et al. 2017,3.0,0.0,0.0,2.0,0,0,,0,0.0,,0,0.0,,,0.0,0.0,0,0,0.0,120,,,,0.6667,0,250.0,,500000.0,,22.0,1.0,,,N,Y,N,N,N,Y,N,S,,10.1002/adma.201703443,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,96.3,Y,Y
117,Kirillova et al. 2017,3.0,0.0,0.0,2.0,0,0,,0,0.0,,0,0.0,,,0.0,0.0,0,0,0.0,120,,,,0.6667,0,250.0,,500000.0,,22.0,2.0,,,N,Y,N,N,N,Y,N,S,,10.1002/adma.201703443,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,96.3,Y,Y
118,Kirillova et al. 2017,3.0,0.0,0.0,2.0,0,0,,0,0.0,,0,0.0,,,0.0,0.0,0,0,0.0,120,,,,0.6667,0,250.0,,500000.0,,22.0,7.0,,,N,Y,N,N,N,Y,N,S,,10.1002/adma.201703443,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,97.3,Y,Y
119,Kirillova et al. 2017,3.0,0.0,0.0,2.0,0,0,,0,0.0,,0,0.0,,,0.0,0.0,0,0,0.0,120,,,,1.333,0,250.0,,500000.0,,22.0,1.0,,,N,Y,N,N,N,Y,N,S,,10.1002/adma.201703443,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,97.6,Y,Y
120,Kirillova et al. 2017,3.0,0.0,0.0,2.0,0,0,,0,0.0,,0,0.0,,,0.0,0.0,0,0,0.0,120,,,,1.333,0,250.0,,500000.0,,22.0,2.0,,,N,Y,N,N,N,Y,N,S,,10.1002/adma.201703443,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,95.7,Y,Y
121,Kirillova et al. 2017,3.0,0.0,0.0,2.0,0,0,,0,0.0,,0,0.0,,,0.0,0.0,0,0,0.0,120,,,,1.333,0,250.0,,500000.0,,22.0,7.0,,,N,Y,N,N,N,Y,N,S,,10.1002/adma.201703443,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,96.3,Y,Y
122,Kirillova et al. 2017,3.0,0.0,0.0,2.0,0,0,,0,0.0,,0,0.0,,,0.0,0.0,0,0,0.0,120,,,,0.6667,0,250.0,,500000.0,,22.0,1.0,,,N,Y,N,N,N,Y,N,S,,10.1002/adma.201703443,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,96.3,Y,Y
123,Kirillova et al. 2017,3.0,0.0,0.0,2.0,0,0,,0,0.0,,0,0.0,,,0.0,0.0,0,0,0.0,120,,,,0.6667,0,250.0,,500000.0,,22.0,2.0,,,N,Y,N,N,N,Y,N,S,,10.1002/adma.201703443,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,96.3,Y,Y
124,Kirillova et al. 2017,3.0,0.0,0.0,2.0,0,0,,0,0.0,,0,0.0,,,0.0,0.0,0,0,0.0,120,,,,0.6667,0,250.0,,500000.0,,22.0,7.0,,,N,Y,N,N,N,Y,N,S,,10.1002/adma.201703443,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,96.3,Y,Y
125,Kirillova et al. 2017,3.0,0.0,0.0,2.0,0,0,,0,0.0,,0,0.0,,,0.0,0.0,0,0,0.0,120,,,,0.6667,0,250.0,,500000.0,,22.0,1.0,,,N,Y,N,N,N,Y,N,S,,10.1002/adma.201703443,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,98.1,Y,Y
126,Kirillova et al. 2017,3.0,0.0,0.0,2.0,0,0,,0,0.0,,0,0.0,,,0.0,0.0,0,0,0.0,120,,,,0.6667,0,250.0,,500000.0,,22.0,2.0,,,N,Y,N,N,N,Y,N,S,,10.1002/adma.201703443,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,95.4,Y,Y
127,Kirillova et al. 2017,3.0,0.0,0.0,2.0,0,0,,0,0.0,,0,0.0,,,0.0,0.0,0,0,0.0,120,,,,0.6667,0,250.0,,500000.0,,22.0,7.0,,,N,Y,N,N,N,Y,N,S,,10.1002/adma.201703443,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,95.4,Y,Y
128,Yang et al. 2018,10.0,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,,0.0,0,0,,0,,,,,0,260.0,,10000000.0,,,14.0,,,Y,N,N,N,N,N,N,S,,10.1021/acsami.7b16059,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,71.9,N,N
129,Yang et al. 2018,10.0,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,,0.0,0,0,,0,,,,,0,260.0,,10000000.0,,,14.0,,,Y,N,N,N,N,N,N,S,,10.1021/acsami.7b16059,0.0,0,0,0.0,0,0.0,0,1.5,,,N,Primary,77.8,N,N
130,Yang et al. 2018,10.0,0.0,0.0,0.0,0,0,,0,1.5,,0,0.0,,,,0.0,0,0,,0,,,,,0,260.0,,10000000.0,,,14.0,,,Y,N,N,N,N,N,N,S,,10.1021/acsami.7b16059,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,91.2,Y,Y
131,Demirtaş et al. 2017,3.0,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,,0.0,0,0,900.0,0,,,,,0,1200.0,,30000000.0,,,3.0,,,N,Y,N,Y,N,N,N,S,,10.1088/1758-5090/aa7b1d,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,89.3,Y,Y
132,Demirtaş et al. 2017,3.0,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,,0.0,0,0,900.0,0,,,,,0,1200.0,,30000000.0,,,9.0,,,N,Y,N,Y,N,N,N,S,,10.1088/1758-5090/aa7b1d,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,91.0,Y,Y
133,Demirtaş et al. 2017,3.0,0.0,0.0,2.0,0,0,,0,0.0,,0,0.0,,,,0.0,0,0,900.0,0,,,,,0,1200.0,,30000000.0,,,3.0,,,N,Y,N,Y,N,N,N,S,,10.1088/1758-5090/aa7b1d,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,93.2,Y,Y
134,Demirtaş et al. 2017,3.0,0.0,0.0,2.0,0,0,,0,0.0,,0,0.0,,,,0.0,0,0,900.0,0,,,,,0,1200.0,,30000000.0,,,9.0,,,N,Y,N,Y,N,N,N,S,,10.1088/1758-5090/aa7b1d,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,93.0,Y,Y
135,Demirtaş et al. 2017,0.0,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,0.0,0.0,0,0,0.0,0,,,,,0,1200.0,,30000000.0,,,3.0,,,N,Y,N,N,N,N,N,S,,10.1088/1758-5090/aa7b1d,0.0,2,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,90.4,Y,Y
136,Demirtaş et al. 2017,0.0,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,0.0,0.0,0,0,0.0,0,,,,,0,1200.0,,30000000.0,,,9.0,,,N,Y,N,N,N,N,N,S,,10.1088/1758-5090/aa7b1d,0.0,2,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,95.0,Y,Y
137,Demirtaş et al. 2017,0.0,0.0,0.0,2.0,0,0,,0,0.0,,0,0.0,,,0.0,0.0,0,0,0.0,0,,,,,0,1200.0,,30000000.0,,,3.0,,,N,Y,N,N,N,N,N,S,,10.1088/1758-5090/aa7b1d,0.0,2,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,91.3,Y,Y
138,Demirtaş et al. 2017,0.0,0.0,0.0,2.0,0,0,,0,0.0,,0,0.0,,,0.0,0.0,0,0,0.0,0,,,,,0,1200.0,,30000000.0,,,9.0,,,N,Y,N,N,N,N,N,S,,10.1088/1758-5090/aa7b1d,0.0,2,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,94.5,Y,Y
139,Kilian et al. 2020,3.0,0.0,0.0,0.0,0,0,,0,0.0,,0,9.0,,,100.0,0.0,0,0,600.0,0,90.0,,,10.0,0,410.0,,700000.0,,,21.0,,,Y,N,N,N,N,N,N,C,,10.1038/s41598-020-65050-9,0.0,0,0,0.0,0,0.0,0,0.0,774.06,700.0,N,Primary,76.0,N,N
140,Kilian et al. 2020,3.0,0.0,0.0,0.0,0,0,,0,0.0,,0,9.0,,,100.0,0.0,0,0,600.0,0,90.0,,,10.0,0,410.0,,700000.0,,,7.0,,,Y,N,N,N,N,N,N,C,,10.1038/s41598-020-65050-9,0.0,0,0,0.0,0,0.0,0,0.0,666.599,700.0,N,Primary,66.4,N,N
